skill,initial_class,phase,profile_validity_precondition,train_design_requires_coverage,train_coverage_evidence,train_coverage_steps,dev30_coverage_evidence,dev30_coverage_steps,train_field_status,dev_gate_field_status,emission_status,gate_min_steps,cell_gate_passed,skill_geometry_phase_gate_passed,skill_intent_progress_passed,intent_progress_fraction,intent_progress_threshold,attribution_label,reason_code,evidence_paths,confidence,next_step_recommendation
defensive_extension,disadvantage,pre_merge,profile_conditioning_coverage (every allowed profile present); validity mask per declared_geometry_phase_coverage_must_be_observed,true,"skills.defensive_extension.train_aggregate.state_phase_steps[""disadvantage:pre_merge""]",100110,"skills.defensive_extension.selected_gate.geometry_phase_coverage[""disadvantage:pre_merge""]",1278,present_value_gt_0,present_value_gt_0,emitted,2,true,false,false,0.5324726134585289,0.55,mixed_or_inconclusive,,"skills.defensive_extension.train_aggregate.state_phase_steps[""disadvantage:pre_merge""] | skills.defensive_extension.selected_gate.geometry_phase_coverage[""disadvantage:pre_merge""] | skills.defensive_extension.selected_gate.checks.geometry_phase_coverage | skills.defensive_extension.selected_gate.intent_progress_fraction | registry.geometry_phase_coverage (provenance_unverified substitute for training_plan.json) | gate_min_steps=2 (thesis_shared_skill_geometry.py:544) | intent_progress_threshold=0.55 (thesis_shared_skill_geometry.py:564)",moderate: coverage proven for fixed initial_class x phase (pre_merge); no dynamic-posture claim required,P4 design review: coverage present but no cell-level quality metric; inconclusive under current evidence
defensive_extension,disadvantage,post_merge,profile_conditioning_coverage (every allowed profile present); validity mask per declared_geometry_phase_coverage_must_be_observed,true,"skills.defensive_extension.train_aggregate.state_phase_steps[""disadvantage:post_merge""]",absent,"skills.defensive_extension.selected_gate.geometry_phase_coverage[""disadvantage:post_merge""]",0,absent,present_value_0,emitted,2,false,false,false,0.5324726134585289,0.55,train_coverage_gap,initial_class_phase_limitation,"skills.defensive_extension.train_aggregate.state_phase_steps[""disadvantage:post_merge""] | skills.defensive_extension.selected_gate.geometry_phase_coverage[""disadvantage:post_merge""] | skills.defensive_extension.selected_gate.checks.geometry_phase_coverage | skills.defensive_extension.selected_gate.intent_progress_fraction | registry.geometry_phase_coverage (provenance_unverified substitute for training_plan.json) | gate_min_steps=2 (thesis_shared_skill_geometry.py:544) | intent_progress_threshold=0.55 (thesis_shared_skill_geometry.py:564) | initial_class_phase_limitation: dynamic posture not observable (telemetry_or_gate_observability_gap reserved semantics, design §4)","low: coverage proven only for fixed initial_class x phase; dynamic five-state posture in post_merge is UNPROVEN (initial_class_phase_limitation, thesis_shared_skill_geometry.py:451)",P4 design review: declared cell has 0 steps in train and dev; revisit training-distribution design (no retraining under this audit)
defensive_extension,disadvantage,re_entry,profile_conditioning_coverage (every allowed profile present); validity mask per declared_geometry_phase_coverage_must_be_observed,true,"skills.defensive_extension.train_aggregate.state_phase_steps[""disadvantage:re_entry""]",absent,"skills.defensive_extension.selected_gate.geometry_phase_coverage[""disadvantage:re_entry""]",0,absent,present_value_0,emitted,2,false,false,false,0.5324726134585289,0.55,train_coverage_gap,initial_class_phase_limitation,"skills.defensive_extension.train_aggregate.state_phase_steps[""disadvantage:re_entry""] | skills.defensive_extension.selected_gate.geometry_phase_coverage[""disadvantage:re_entry""] | skills.defensive_extension.selected_gate.checks.geometry_phase_coverage | skills.defensive_extension.selected_gate.intent_progress_fraction | registry.geometry_phase_coverage (provenance_unverified substitute for training_plan.json) | gate_min_steps=2 (thesis_shared_skill_geometry.py:544) | intent_progress_threshold=0.55 (thesis_shared_skill_geometry.py:564) | initial_class_phase_limitation: dynamic posture not observable (telemetry_or_gate_observability_gap reserved semantics, design §4)","low: coverage proven only for fixed initial_class x phase; dynamic five-state posture in re_entry is UNPROVEN (initial_class_phase_limitation, thesis_shared_skill_geometry.py:451)",P4 design review: declared cell has 0 steps in train and dev; revisit training-distribution design (no retraining under this audit)
defensive_extension,neutral,pre_merge,profile_conditioning_coverage (every allowed profile present); validity mask per declared_geometry_phase_coverage_must_be_observed,true,"skills.defensive_extension.train_aggregate.state_phase_steps[""neutral:pre_merge""]",99890,"skills.defensive_extension.selected_gate.geometry_phase_coverage[""neutral:pre_merge""]",1278,present_value_gt_0,present_value_gt_0,emitted,2,true,false,false,0.5324726134585289,0.55,mixed_or_inconclusive,,"skills.defensive_extension.train_aggregate.state_phase_steps[""neutral:pre_merge""] | skills.defensive_extension.selected_gate.geometry_phase_coverage[""neutral:pre_merge""] | skills.defensive_extension.selected_gate.checks.geometry_phase_coverage | skills.defensive_extension.selected_gate.intent_progress_fraction | registry.geometry_phase_coverage (provenance_unverified substitute for training_plan.json) | gate_min_steps=2 (thesis_shared_skill_geometry.py:544) | intent_progress_threshold=0.55 (thesis_shared_skill_geometry.py:564)",moderate: coverage proven for fixed initial_class x phase (pre_merge); no dynamic-posture claim required,P4 design review: coverage present but no cell-level quality metric; inconclusive under current evidence
defensive_extension,neutral,post_merge,profile_conditioning_coverage (every allowed profile present); validity mask per declared_geometry_phase_coverage_must_be_observed,true,"skills.defensive_extension.train_aggregate.state_phase_steps[""neutral:post_merge""]",absent,"skills.defensive_extension.selected_gate.geometry_phase_coverage[""neutral:post_merge""]",0,absent,present_value_0,emitted,2,false,false,false,0.5324726134585289,0.55,train_coverage_gap,initial_class_phase_limitation,"skills.defensive_extension.train_aggregate.state_phase_steps[""neutral:post_merge""] | skills.defensive_extension.selected_gate.geometry_phase_coverage[""neutral:post_merge""] | skills.defensive_extension.selected_gate.checks.geometry_phase_coverage | skills.defensive_extension.selected_gate.intent_progress_fraction | registry.geometry_phase_coverage (provenance_unverified substitute for training_plan.json) | gate_min_steps=2 (thesis_shared_skill_geometry.py:544) | intent_progress_threshold=0.55 (thesis_shared_skill_geometry.py:564) | initial_class_phase_limitation: dynamic posture not observable (telemetry_or_gate_observability_gap reserved semantics, design §4)","low: coverage proven only for fixed initial_class x phase; dynamic five-state posture in post_merge is UNPROVEN (initial_class_phase_limitation, thesis_shared_skill_geometry.py:451)",P4 design review: declared cell has 0 steps in train and dev; revisit training-distribution design (no retraining under this audit)
defensive_extension,neutral,re_entry,profile_conditioning_coverage (every allowed profile present); validity mask per declared_geometry_phase_coverage_must_be_observed,true,"skills.defensive_extension.train_aggregate.state_phase_steps[""neutral:re_entry""]",absent,"skills.defensive_extension.selected_gate.geometry_phase_coverage[""neutral:re_entry""]",0,absent,present_value_0,emitted,2,false,false,false,0.5324726134585289,0.55,train_coverage_gap,initial_class_phase_limitation,"skills.defensive_extension.train_aggregate.state_phase_steps[""neutral:re_entry""] | skills.defensive_extension.selected_gate.geometry_phase_coverage[""neutral:re_entry""] | skills.defensive_extension.selected_gate.checks.geometry_phase_coverage | skills.defensive_extension.selected_gate.intent_progress_fraction | registry.geometry_phase_coverage (provenance_unverified substitute for training_plan.json) | gate_min_steps=2 (thesis_shared_skill_geometry.py:544) | intent_progress_threshold=0.55 (thesis_shared_skill_geometry.py:564) | initial_class_phase_limitation: dynamic posture not observable (telemetry_or_gate_observability_gap reserved semantics, design §4)","low: coverage proven only for fixed initial_class x phase; dynamic five-state posture in re_entry is UNPROVEN (initial_class_phase_limitation, thesis_shared_skill_geometry.py:451)",P4 design review: declared cell has 0 steps in train and dev; revisit training-distribution design (no retraining under this audit)
lead_intercept,advantage,pre_merge,profile_conditioning_coverage (every allowed profile present); validity mask per declared_geometry_phase_coverage_must_be_observed,true,"skills.lead_intercept.train_aggregate.state_phase_steps[""advantage:pre_merge""]",63721,"skills.lead_intercept.selected_gate.geometry_phase_coverage[""advantage:pre_merge""]",1278,present_value_gt_0,present_value_gt_0,emitted,2,true,false,false,0.49765258215962443,0.55,mixed_or_inconclusive,,"skills.lead_intercept.train_aggregate.state_phase_steps[""advantage:pre_merge""] | skills.lead_intercept.selected_gate.geometry_phase_coverage[""advantage:pre_merge""] | skills.lead_intercept.selected_gate.checks.geometry_phase_coverage | skills.lead_intercept.selected_gate.intent_progress_fraction | registry.geometry_phase_coverage (provenance_unverified substitute for training_plan.json) | gate_min_steps=2 (thesis_shared_skill_geometry.py:544) | intent_progress_threshold=0.55 (thesis_shared_skill_geometry.py:564)",moderate: coverage proven for fixed initial_class x phase (pre_merge); no dynamic-posture claim required,P4 design review: coverage present but no cell-level quality metric; inconclusive under current evidence
lead_intercept,advantage,post_merge,profile_conditioning_coverage (every allowed profile present); validity mask per declared_geometry_phase_coverage_must_be_observed,true,"skills.lead_intercept.train_aggregate.state_phase_steps[""advantage:post_merge""]",2920,"skills.lead_intercept.selected_gate.geometry_phase_coverage[""advantage:post_merge""]",0,present_value_gt_0,present_value_0,emitted,2,false,false,false,0.49765258215962443,0.55,not_observed_cannot_assess,dev_coverage_gap,"skills.lead_intercept.train_aggregate.state_phase_steps[""advantage:post_merge""] | skills.lead_intercept.selected_gate.geometry_phase_coverage[""advantage:post_merge""] | skills.lead_intercept.selected_gate.checks.geometry_phase_coverage | skills.lead_intercept.selected_gate.intent_progress_fraction | registry.geometry_phase_coverage (provenance_unverified substitute for training_plan.json) | gate_min_steps=2 (thesis_shared_skill_geometry.py:544) | intent_progress_threshold=0.55 (thesis_shared_skill_geometry.py:564) | initial_class_phase_limitation: dynamic posture not observable (telemetry_or_gate_observability_gap reserved semantics, design §4)","low: coverage proven only for fixed initial_class x phase; dynamic five-state posture in post_merge is UNPROVEN (initial_class_phase_limitation, thesis_shared_skill_geometry.py:451)","P4 design review: cell observed in train but not in dev30; dev coverage gap, cannot assess capability from current evidence"
lead_intercept,neutral,pre_merge,profile_conditioning_coverage (every allowed profile present); validity mask per declared_geometry_phase_coverage_must_be_observed,true,"skills.lead_intercept.train_aggregate.state_phase_steps[""neutral:pre_merge""]",66662,"skills.lead_intercept.selected_gate.geometry_phase_coverage[""neutral:pre_merge""]",1278,present_value_gt_0,present_value_gt_0,emitted,2,true,false,false,0.49765258215962443,0.55,mixed_or_inconclusive,,"skills.lead_intercept.train_aggregate.state_phase_steps[""neutral:pre_merge""] | skills.lead_intercept.selected_gate.geometry_phase_coverage[""neutral:pre_merge""] | skills.lead_intercept.selected_gate.checks.geometry_phase_coverage | skills.lead_intercept.selected_gate.intent_progress_fraction | registry.geometry_phase_coverage (provenance_unverified substitute for training_plan.json) | gate_min_steps=2 (thesis_shared_skill_geometry.py:544) | intent_progress_threshold=0.55 (thesis_shared_skill_geometry.py:564)",moderate: coverage proven for fixed initial_class x phase (pre_merge); no dynamic-posture claim required,P4 design review: coverage present but no cell-level quality metric; inconclusive under current evidence
lead_intercept,neutral,post_merge,profile_conditioning_coverage (every allowed profile present); validity mask per declared_geometry_phase_coverage_must_be_observed,true,"skills.lead_intercept.train_aggregate.state_phase_steps[""neutral:post_merge""]",absent,"skills.lead_intercept.selected_gate.geometry_phase_coverage[""neutral:post_merge""]",0,absent,present_value_0,emitted,2,false,false,false,0.49765258215962443,0.55,train_coverage_gap,initial_class_phase_limitation,"skills.lead_intercept.train_aggregate.state_phase_steps[""neutral:post_merge""] | skills.lead_intercept.selected_gate.geometry_phase_coverage[""neutral:post_merge""] | skills.lead_intercept.selected_gate.checks.geometry_phase_coverage | skills.lead_intercept.selected_gate.intent_progress_fraction | registry.geometry_phase_coverage (provenance_unverified substitute for training_plan.json) | gate_min_steps=2 (thesis_shared_skill_geometry.py:544) | intent_progress_threshold=0.55 (thesis_shared_skill_geometry.py:564) | initial_class_phase_limitation: dynamic posture not observable (telemetry_or_gate_observability_gap reserved semantics, design §4)","low: coverage proven only for fixed initial_class x phase; dynamic five-state posture in post_merge is UNPROVEN (initial_class_phase_limitation, thesis_shared_skill_geometry.py:451)",P4 design review: declared cell has 0 steps in train and dev; revisit training-distribution design (no retraining under this audit)
